DATE,Price,Open,High ,Low,Volume,Change %
21-Jun-20,9296.40,9358.80,9411.20,9288.50,335.99K,-0.67%
22-Jun-20,9683.70,9296.50,9751.90,9285.80,523.32K,4.17%
23-Jun-20,9624.60,9683.90,9715.60,9581.80,375.49K,-0.61%
24-Jun-20,9302.00,9624.60,9667.40,9223.00,515.78K,-3.35%
25-Jun-20,9247.50,9300.80,9327.30,9022.60,524.45K,-0.59%
26-Jun-20,9160.00,9247.50,9296.50,9060.10,489.84K,-0.95%
27-Jun-20,9008.30,9160.50,9190.50,8865.30,441.93K,-1.66%
28-Jun-20,9124.00,9008.40,9185.50,8950.20,329.01K,1.28%
29-Jun-20,9185.40,9122.80,9229.10,9033.60,401.12K,0.67%
30-Jun-20,9135.40,9186.00,9199.80,9075.30,381.73K,-0.54%
01-Jul-20,9229.90,9135.90,9289.00,9101.10,366.78K,1.03%
02-Jul-20,9085.10,9229.90,9259.70,8962.10,483.10K,-1.57%
03-Jul-20,9067.10,9085.00,9120.40,9050.90,333.88K,-0.20%
04-Jul-20,9134.40,9067.10,9182.30,9049.60,261.25K,0.74%
05-Jul-20,9081.00,9134.30,9149.60,8932.10,314.10K,-0.58%
06-Jul-20,9339.00,9080.40,9363.00,9063.20,510.27K,2.84%
07-Jul-20,9256.00,9338.80,9371.20,9209.30,420.55K,-0.89%
08-Jul-20,9429.90,9256.30,9458.30,9233.10,509.94K,1.88%
09-Jul-20,9235.70,9430.10,9434.50,9176.00,444.27K,-2.06%
10-Jul-20,9285.10,9239.00,9309.80,9131.90,418.47K,0.53%
11-Jul-20,9233.30,9285.80,9295.50,9184.20,353.92K,-0.56%
12-Jul-20,9300.80,9234.20,9337.80,9170.40,366.88K,0.73%
13-Jul-20,9243.60,9300.50,9329.60,9207.60,456.87K,-0.62%
14-Jul-20,9253.40,9243.10,9274.80,9135.70,453.83K,0.11%
15-Jul-20,9198.70,9253.60,9270.20,9168.70,429.84K,-0.59%
16-Jul-20,9135.30,9198.70,9224.20,9052.00,429.04K,-0.69%
17-Jul-20,9155.80,9135.40,9181.90,9091.50,310.92K,0.22%
18-Jul-20,9170.20,9155.80,9198.80,9126.70,276.40K,0.16%
19-Jul-20,9208.00,9170.10,9224.80,9106.40,265.25K,0.41%
20-Jul-20,9162.40,9208.10,9218.40,9139.90,312.98K,-0.50%
21-Jul-20,9387.30,9162.30,9426.90,9155.10,458.99K,2.46%
22-Jul-20,9513.70,9387.40,9523.10,9296.00,386.00K,1.35%
23-Jul-20,9599.60,9513.60,9646.50,9451.10,425.66K,0.90%
24-Jul-20,9546.40,9599.20,9626.20,9480.50,359.16K,-0.55%
25-Jul-20,9704.10,9546.70,9729.30,9536.20,306.29K,1.65%
26-Jul-20,9932.50,9690.00,10086.60,9645.90,415.07K,2.35%
27-Jul-20,11022.80,9932.70,11367.00,9894.60,908.99K,10.98%
28-Jul-20,10908.50,10961.10,11046.10,10873.60,658.37K,-1.04%
29-Jul-20,11105.90,10908.40,11336.50,10771.80,576.83K,1.81%
30-Jul-20,11096.20,11105.80,11164.40,10861.60,501.14K,-0.09%
31-Jul-20,11333.40,11096.50,11434.80,10964.60,530.95K,2.14%
01-Aug-20,11803.10,11333.20,11847.70,11226.10,611.47K,4.14%
02-Aug-20,11066.80,11802.60,12061.10,10730.70,647.95K,-6.24%
03-Aug-20,11224.40,11066.90,11461.10,10981.60,470.24K,1.42%
04-Aug-20,11184.70,11223.80,11407.80,11043.00,485.79K,-0.35%
05-Aug-20,11735.10,11184.80,11771.50,11114.50,570.83K,4.92%
06-Aug-20,11757.10,11735.00,11898.40,11563.00,554.85K,0.19%
07-Aug-20,11592.00,11757.10,11901.80,11352.40,517.00K,-1.40%
08-Aug-20,11764.30,11591.60,11805.50,11533.50,317.06K,1.49%
09-Aug-20,11681.20,11764.40,11792.80,11527.50,303.00K,-0.71%
10-Aug-20,11889.20,11681.10,12041.10,11546.90,564.11K,1.78%
11-Aug-20,11390.40,11889.20,11931.80,11146.70,615.90K,-4.19%
12-Aug-20,11557.20,11390.40,11605.40,11190.60,549.59K,1.46%
13-Aug-20,11770.90,11557.20,11772.90,11298.40,545.67K,1.85%
14-Aug-20,11750.80,11771.10,11835.50,11651.50,435.44K,-0.17%
15-Aug-20,11845.30,11751.10,11964.00,11711.50,499.10K,0.80%
16-Aug-20,11899.00,11845.50,11922.50,11688.90,410.81K,0.45%
17-Aug-20,12282.60,11898.80,12444.10,11764.00,628.41K,3.22%
18-Aug-20,11947.60,12283.00,12381.40,11842.00,606.79K,-2.73%
19-Aug-20,11750.20,11944.40,12013.20,11602.60,550.26K,-1.65%
20-Aug-20,11856.90,11751.00,11881.00,11672.70,430.93K,0.91%
